height,timestamp,difficulty,delta_t
628652,1588470181,15958652328578.42,27.0
628653,1588471343,15958652328578.42,1162.0
628654,1588472093,15958652328578.42,750.0
628655,1588472793,15958652328578.42,700.0
628656,1588473145,15958652328578.42,352.0
628657,1588473581,15958652328578.42,436.0
628658,1588473702,15958652328578.42,121.0
628659,1588473785,15958652328578.42,83.0
628660,1588474736,15958652328578.42,951.0
628661,1588475051,15958652328578.42,315.0
628662,1588475291,15958652328578.42,240.0
628663,1588475420,15958652328578.42,129.0
628664,1588476300,15958652328578.42,880.0
628665,1588476831,15958652328578.42,531.0
628666,1588477431,15958652328578.42,600.0
628667,1588477663,15958652328578.422,232.0
628668,1588477710,15958652328578.42,47.0
628669,1588478024,15958652328578.42,314.0
628670,1588478095,15958652328578.42,71.0
628671,1588478712,15958652328578.42,617.0
628672,1588479458,15958652328578.42,746.0
